synopsis_plagiarism_similarity,title_length,description_length,synopsis_length,title_word_count,description_word_count,synopsis_word_count,title_sentiment,description_sentiment,synopsis_sentiment,description_readability,synopsis_readability,num_locations,rehearsal_to_shooting_days,production_duration_months,num_crew_roles,avg_crew_compensation,max_crew_compensation,pct_negotiable_crew,num_casting_roles,num_male_roles,num_female_roles,num_nonbinary_roles,gender_diversity_score,avg_casting_compensation,max_casting_compensation,pct_negotiable_casting,age_range_diversity,casting_description_sentiment,project_duration_days,project_year,project_month,project_type_id,package_type_of_user,has_major_city,is_summer_production,is_winter_production,has_director,has_assistant_director,has_child_actors,is_holiday_season,review_status
0.54,33.0,129.0,109.0,3.0,18.0,19.0,0.0,0.0516,-0.1531,47.16750000000002,75.73298245614036,3.0,31.0,4.0,5.0,35333.333333333336,41000.0,40.0,6.0,1.0,4.0,1.0,0.5,27000.0,31000.0,66.66666666666666,2.0,0.20675,123.0,2025.0,7.0,Theater,free,True,True,False,True,False,True,False,Needs Review
0.56,37.0,178.0,111.0,3.0,26.0,19.0,0.0,0.8271,0.1779,47.306730769230796,75.73298245614036,2.0,31.0,5.0,4.0,0.0,0.0,100.0,4.0,3.0,1.0,0.0,0.375,19000.0,21000.0,25.0,4.0,0.18525000000000003,173.0,2024.0,11.0,TV,premium,True,False,False,False,False,True,True,Needs Review
0.95,39.0,87.0,109.0,5.0,14.0,14.0,0.0,0.7964,0.6369,69.15547619047621,18.44428571428574,2.0,15.0,4.0,4.0,39000.0,39000.0,75.0,6.0,2.0,3.0,1.0,0.6111111111111112,20666.666666666668,30000.0,50.0,5.0,0.21941666666666668,139.0,2024.0,10.0,Theater,basic,True,False,False,False,False,True,False,Rejected
0.77,28.0,177.0,113.0,3.0,24.0,17.0,0.0,0.2263,0.802,20.970000000000027,56.76568627450982,2.0,25.0,2.0,3.0,13000.0,13000.0,66.66666666666666,6.0,1.0,1.0,4.0,0.5,35200.0,40000.0,16.666666666666664,4.0,0.10878333333333334,87.0,2025.0,11.0,Film,basic,True,False,True,False,False,True,True,Needs Review
0.37,33.0,62.0,64.0,3.0,11.0,11.0,0.0,0.128,0.1779,101.27068181818181,93.57977272727274,2.0,14.0,2.0,3.0,15000.0,17000.0,33.33333333333333,3.0,0.0,2.0,1.0,0.4444444444444444,21000.0,23000.0,33.33333333333333,2.0,0.13686666666666666,72.0,2025.0,5.0,TV,basic,True,False,False,False,False,False,False,Approved
0.81,36.0,128.0,144.0,4.0,20.0,21.0,0.0,0.3818,0.5106,73.16833333333334,42.61571428571432,3.0,23.0,5.0,4.0,36000.0,37000.0,50.0,6.0,2.0,3.0,1.0,0.6111111111111112,30400.0,39000.0,16.666666666666664,3.0,0.06165,173.0,2025.0,7.0,Film,free,True,True,False,False,False,True,False,Rejected
0.18,26.0,150.0,105.0,3.0,24.0,16.0,0.3182,0.875,0.0,70.32,53.3716666666667,3.0,27.0,3.0,2.0,35500.0,50000.0,0.0,6.0,3.0,0.0,3.0,0.5,27000.0,30000.0,50.0,5.0,0.22776666666666665,97.0,2025.0,12.0,TV,free,True,False,True,False,False,True,True,Approved
0.0,39.0,187.0,82.0,3.0,27.0,14.0,0.0,0.9022,0.5719,43.31708333333336,87.28404761904761,2.0,25.0,1.0,5.0,26666.666666666668,40000.0,40.0,4.0,0.0,4.0,0.0,0.0,29000.0,36000.0,50.0,4.0,-0.091525,45.0,2025.0,10.0,Documentary,basic,True,False,False,False,False,True,False,Approved
0.97,33.0,192.0,138.0,3.0,28.0,22.0,0.0,0.5994,0.2263,47.05814285714288,67.77809090909093,3.0,28.0,5.0,5.0,38250.0,48000.0,20.0,3.0,1.0,1.0,1.0,0.6666666666666667,27000.0,28000.0,33.33333333333333,1.0,-0.14423333333333332,162.0,2024.0,9.0,Documentary,free,True,False,False,True,False,True,False,Rejected
0.1,29.0,168.0,106.0,3.0,24.0,15.0,0.0,0.6553,0.3612,39.81300000000002,58.2225,1.0,29.0,5.0,5.0,33000.0,33000.0,80.0,4.0,3.0,0.0,1.0,0.375,17000.0,17000.0,50.0,4.0,-0.035150000000000015,156.0,2024.0,7.0,Theater,premium,True,True,False,False,False,True,False,Approved
0.52,25.0,75.0,122.0,3.0,11.0,21.0,0.0,0.5994,0.5423,47.434318181818185,68.5633928571429,3.0,12.0,1.0,5.0,43000.0,43000.0,80.0,6.0,2.0,1.0,3.0,0.6111111111111112,32333.333333333332,35000.0,50.0,4.0,0.2584666666666667,32.0,2024.0,12.0,Film,basic,True,False,True,False,False,True,True,Needs Review
0.89,29.0,135.0,142.0,3.0,23.0,21.0,0.0,0.4215,0.6486,72.2596195652174,37.40057142857145,1.0,18.0,3.0,4.0,22000.0,23000.0,50.0,5.0,2.0,3.0,0.0,0.48,36000.0,36000.0,80.0,4.0,0.26599999999999996,99.0,2025.0,10.0,Film,premium,False,False,False,False,False,True,False,Rejected
0.83,39.0,178.0,78.0,3.0,27.0,13.0,0.0,0.7269,0.4588,54.08733333333336,85.29820512820514,2.0,29.0,2.0,2.0,32000.0,32000.0,50.0,3.0,1.0,1.0,1.0,0.6666666666666667,22000.0,22000.0,66.66666666666666,2.0,0.31396666666666667,68.0,2025.0,4.0,Short Film,free,True,False,False,False,False,True,False,Rejected
0.83,30.0,199.0,97.0,3.0,33.0,15.0,0.0,-0.3182,0.0516,68.74090909090913,52.58250000000001,1.0,20.0,2.0,2.0,33500.0,44000.0,0.0,4.0,2.0,1.0,1.0,0.625,23500.0,31000.0,50.0,3.0,0.058100000000000006,83.0,2025.0,9.0,Short Film,premium,True,False,False,False,False,True,False,Rejected
0.01,27.0,188.0,108.0,3.0,29.0,16.0,0.0,0.7269,-0.1779,63.837655172413804,42.79666666666668,2.0,24.0,1.0,2.0,0.0,0.0,100.0,6.0,2.0,1.0,3.0,0.6111111111111112,24000.0,36000.0,33.33333333333333,5.0,0.32836666666666664,39.0,2025.0,7.0,Film,free,True,True,False,False,False,True,False,Approved
0.96,33.0,86.0,86.0,4.0,14.0,13.0,0.0,0.4939,0.0,72.83000000000003,70.08365384615385,3.0,24.0,2.0,2.0,0.0,0.0,100.0,4.0,1.0,2.0,1.0,0.625,27000.0,32000.0,25.0,1.0,-0.02817499999999999,84.0,2025.0,7.0,Documentary,premium,True,True,False,False,True,False,False,Rejected
0.47,36.0,168.0,37.0,3.0,26.0,6.0,0.0,-0.2023,0.0062,49.50589743589745,87.94500000000002,2.0,11.0,1.0,4.0,0.0,0.0,100.0,3.0,2.0,1.0,0.0,0.4444444444444444,27500.0,32000.0,33.33333333333333,3.0,0.06003333333333335,55.0,2025.0,10.0,Short Film,free,True,False,False,False,False,True,False,Approved
0.79,38.0,164.0,114.0,3.0,25.0,17.0,0.0,0.7269,0.4588,52.86400000000003,68.15654411764709,2.0,17.0,3.0,3.0,50000.0,50000.0,66.66666666666666,6.0,1.0,1.0,4.0,0.5,21000.0,23000.0,66.66666666666666,4.0,0.29048333333333337,118.0,2025.0,4.0,Short Film,basic,True,False,False,False,False,True,False,Needs Review
0.97,36.0,124.0,104.0,3.0,18.0,16.0,0.0,0.6908,0.3612,36.245000000000005,48.084166666666704,2.0,13.0,3.0,4.0,41500.0,50000.0,50.0,5.0,0.0,4.0,1.0,0.31999999999999984,23000.0,33000.0,40.0,3.0,0.31238,116.0,2025.0,5.0,Documentary,basic,True,False,False,False,False,True,False,Rejected
0.87,28.0,111.0,60.0,3.0,17.0,8.0,0.0,0.4588,0.5574,61.742156862745134,33.57500000000002,2.0,30.0,3.0,5.0,28400.0,46000.0,0.0,3.0,0.0,2.0,1.0,0.4444444444444444,31333.333333333332,40000.0,0.0,2.0,0.37293333333333334,119.0,2025.0,4.0,Film,premium,True,False,False,False,True,True,False,Rejected
0.63,32.0,138.0,42.0,3.0,19.0,7.0,0.0,0.0,0.0,17.84877192982458,66.7871428571429,3.0,18.0,5.0,2.0,25000.0,25000.0,50.0,4.0,0.0,2.0,2.0,0.5,22666.666666666668,28000.0,25.0,4.0,0.311025,162.0,2024.0,11.0,Theater,premium,True,False,False,False,False,True,True,Needs Review
0.37,39.0,160.0,79.0,4.0,24.0,13.0,0.0,0.5423,-0.2732,66.79500000000002,78.79051282051283,1.0,24.0,2.0,3.0,0.0,0.0,100.0,3.0,1.0,1.0,1.0,0.6666666666666667,20500.0,23000.0,33.33333333333333,2.0,0.23506666666666665,64.0,2025.0,2.0,Short Film,free,True,False,True,False,False,False,False,Approved
0.95,37.0,171.0,139.0,3.0,25.0,18.0,0.0,0.5859,0.8176,49.48000000000002,37.76750000000001,2.0,15.0,3.0,3.0,0.0,0.0,100.0,6.0,3.0,1.0,2.0,0.6111111111111112,19333.333333333332,21000.0,50.0,4.0,0.2794166666666667,102.0,2025.0,11.0,Short Film,free,True,False,False,False,False,True,True,Rejected
0.93,31.0,147.0,88.0,3.0,22.0,13.0,0.4215,0.4939,0.6249,55.12522727272727,46.2520512820513,3.0,22.0,2.0,2.0,17500.0,24000.0,0.0,3.0,2.0,1.0,0.0,0.4444444444444444,21666.666666666668,33000.0,0.0,3.0,0.5159,83.0,2025.0,8.0,TV,free,True,False,False,False,False,False,False,Rejected
0.78,39.0,140.0,84.0,3.0,19.0,12.0,0.4588,0.2263,0.4767,44.564561403508776,45.64500000000001,2.0,21.0,1.0,2.0,0.0,0.0,100.0,6.0,2.0,1.0,3.0,0.6111111111111112,28500.0,38000.0,33.33333333333333,5.0,0.21550000000000002,42.0,2024.0,10.0,Film,free,True,False,False,False,False,True,False,Needs Review
0.2,31.0,137.0,130.0,3.0,18.0,17.0,0.0,-0.128,0.0772,26.845000000000027,21.93039215686275,2.0,13.0,5.0,5.0,29333.333333333332,38000.0,40.0,6.0,1.0,3.0,2.0,0.6111111111111112,20000.0,20000.0,83.33333333333334,3.0,-0.03936666666666668,178.0,2024.0,7.0,Theater,free,True,True,False,False,False,True,False,Approved
0.97,30.0,97.0,132.0,3.0,14.0,22.0,0.6597,0.7351,0.3321,44.98404761904763,72.49166666666669,2.0,24.0,5.0,5.0,25333.333333333332,40000.0,40.0,5.0,3.0,1.0,1.0,0.5599999999999999,17500.0,20000.0,60.0,3.0,-0.05245999999999999,174.0,2025.0,4.0,Theater,premium,True,False,False,False,True,False,False,Rejected
0.55,27.0,171.0,105.0,3.0,22.0,16.0,0.3612,0.6808,-0.128,12.82522727272729,53.3716666666667,3.0,22.0,3.0,2.0,32000.0,32000.0,50.0,4.0,0.0,1.0,3.0,0.375,31750.0,40000.0,0.0,2.0,0.02062499999999999,113.0,2025.0,10.0,Short Film,free,True,False,False,False,False,False,False,Needs Review
0.74,32.0,83.0,64.0,3.0,13.0,10.0,0.25,0.0772,0.7184,52.75974358974361,49.48000000000002,2.0,26.0,3.0,2.0,0.0,0.0,100.0,3.0,1.0,0.0,2.0,0.4444444444444444,30500.0,33000.0,33.33333333333333,2.0,-0.11373333333333334,92.0,2026.0,1.0,Theater,premium,True,False,True,False,True,True,True,Needs Review
0.58,35.0,191.0,92.0,4.0,27.0,14.0,0.3612,-0.1531,-0.2023,29.02066666666667,51.026904761904774,3.0,23.0,1.0,5.0,30666.666666666668,41000.0,40.0,3.0,1.0,2.0,0.0,0.4444444444444444,31000.0,37000.0,33.33333333333333,3.0,0.1649,45.0,2025.0,4.0,TV,basic,True,False,False,False,False,True,False,Needs Review
0.43,31.0,103.0,128.0,3.0,17.0,19.0,0.0,0.6486,-0.2732,61.742156862745134,49.01719298245615,1.0,23.0,4.0,3.0,13000.0,13000.0,66.66666666666666,5.0,3.0,0.0,2.0,0.48,29666.666666666668,37000.0,40.0,4.0,0.29,141.0,2024.0,9.0,Documentary,free,False,False,False,False,True,True,False,Approved
0.77,27.0,134.0,84.0,3.0,22.0,14.0,0.0,0.3182,0.8979,58.970681818181816,93.32690476190476,1.0,16.0,3.0,3.0,30000.0,32000.0,33.33333333333333,6.0,1.0,3.0,2.0,0.6111111111111112,30000.0,30000.0,83.33333333333334,4.0,0.2513166666666667,109.0,2024.0,6.0,Documentary,premium,True,True,False,False,False,True,False,Needs Review
0.91,22.0,133.0,92.0,3.0,20.0,15.0,0.0,0.3182,-0.3089,45.25000000000003,78.94875000000002,3.0,21.0,2.0,2.0,17000.0,17000.0,50.0,3.0,1.0,1.0,1.0,0.6666666666666667,22000.0,22000.0,33.33333333333333,3.0,0.04943333333333333,84.0,2025.0,7.0,Short Film,free,True,True,False,False,False,True,False,Rejected
0.96,38.0,178.0,98.0,3.0,27.0,14.0,0.0,-0.1189,0.4404,67.53416666666669,44.98404761904763,2.0,15.0,2.0,5.0,28000.0,28000.0,80.0,4.0,1.0,2.0,1.0,0.625,0.0,0.0,100.0,3.0,0.07797499999999999,77.0,2025.0,7.0,Short Film,premium,True,True,False,False,False,False,False,Rejected
0.03,53.0,94.0,108.0,5.0,14.0,17.0,0.0,0.7037,0.144,63.11261904761906,63.1800735294118,2.0,14.0,3.0,3.0,39500.0,42000.0,33.33333333333333,6.0,2.0,1.0,3.0,0.6111111111111112,22000.0,27000.0,66.66666666666666,5.0,0.10636666666666666,93.0,2024.0,10.0,TV,basic,True,False,False,False,False,True,False,Approved
0.6,41.0,140.0,116.0,3.0,21.0,18.0,0.0,-0.4767,0.3818,61.572,64.44500000000002,1.0,21.0,5.0,5.0,31500.0,46000.0,60.0,6.0,2.0,3.0,1.0,0.6111111111111112,27000.0,36000.0,66.66666666666666,5.0,0.13263333333333333,162.0,2025.0,7.0,TV,free,True,True,False,False,False,True,False,Needs Review
0.95,44.0,158.0,129.0,4.0,25.0,22.0,0.0,0.25,0.6597,63.01600000000005,80.18257575757578,3.0,26.0,2.0,3.0,41000.0,47000.0,33.33333333333333,6.0,3.0,2.0,1.0,0.6111111111111112,24666.666666666668,30000.0,50.0,4.0,0.09000000000000001,61.0,2024.0,10.0,Documentary,free,True,False,False,False,False,False,False,Rejected
0.19,34.0,136.0,137.0,3.0,22.0,19.0,0.0,0.1761,-0.4976,51.27977272727273,17.84877192982458,1.0,20.0,3.0,4.0,36000.0,36000.0,75.0,3.0,0.0,1.0,2.0,0.4444444444444444,25000.0,25000.0,66.66666666666666,2.0,0.0,93.0,2025.0,12.0,TV,premium,True,False,True,False,False,True,True,Approved
0.63,36.0,186.0,92.0,3.0,28.0,14.0,0.0,0.6486,0.296,50.079571428571455,63.11261904761906,2.0,30.0,3.0,2.0,0.0,0.0,100.0,6.0,1.0,2.0,3.0,0.6111111111111112,23600.0,38000.0,16.666666666666664,4.0,0.41864999999999997,112.0,2026.0,1.0,Documentary,premium,True,False,True,False,False,True,True,Needs Review
0.75,32.0,177.0,99.0,3.0,27.0,13.0,0.0,0.8126,0.8074,72.88733333333334,26.72897435897437,2.0,9.0,4.0,2.0,12000.0,12000.0,50.0,3.0,1.0,0.0,2.0,0.4444444444444444,16000.0,16000.0,33.33333333333333,2.0,0.3263,131.0,2025.0,5.0,TV,basic,False,False,False,False,False,False,False,Needs Review
0.04,33.0,139.0,135.0,3.0,18.0,22.0,0.0,0.1779,0.7717,18.96750000000003,70.50704545454548,1.0,12.0,5.0,2.0,46000.0,46000.0,50.0,5.0,1.0,2.0,2.0,0.6399999999999999,15000.0,15000.0,80.0,3.0,0.3675,162.0,2024.0,11.0,Documentary,free,False,False,False,False,False,True,True,Approved
0.73,37.0,149.0,102.0,3.0,23.0,16.0,0.0,0.3182,0.5667,62.39208695652175,53.3716666666667,3.0,15.0,4.0,2.0,40000.0,40000.0,50.0,4.0,1.0,2.0,1.0,0.625,32750.0,37000.0,0.0,4.0,0.135575,124.0,2025.0,11.0,Theater,free,True,False,False,False,False,True,True,Needs Review
0.18,33.0,134.0,99.0,3.0,19.0,16.0,0.0,-0.7256,0.4019,53.4698245614035,53.3716666666667,3.0,27.0,2.0,2.0,45000.0,45000.0,50.0,3.0,0.0,0.0,3.0,0.0,36000.0,36000.0,66.66666666666666,3.0,0.316,74.0,2025.0,10.0,Documentary,free,True,False,False,False,False,False,False,Approved
0.08,32.0,157.0,92.0,3.0,24.0,16.0,0.0,0.3052,-0.2732,59.745000000000005,74.52166666666669,2.0,24.0,2.0,2.0,28000.0,28000.0,50.0,3.0,2.0,0.0,1.0,0.4444444444444444,23000.0,25000.0,33.33333333333333,3.0,0.04813333333333334,86.0,2024.0,12.0,Film,premium,True,False,True,False,False,True,True,Approved
0.27,40.0,157.0,72.0,4.0,25.0,11.0,0.5423,0.5574,0.0,52.86400000000003,85.88886363636365,2.0,22.0,2.0,3.0,23000.0,30000.0,33.33333333333333,5.0,2.0,3.0,0.0,0.48,31750.0,40000.0,20.0,4.0,0.03777999999999998,86.0,2025.0,9.0,Short Film,premium,True,False,False,False,False,True,False,Approved
0.08,38.0,154.0,104.0,4.0,24.0,15.0,0.0,-0.25,-0.2732,78.58800000000004,52.58250000000001,1.0,20.0,4.0,5.0,24000.0,38000.0,0.0,6.0,4.0,0.0,2.0,0.4444444444444444,32000.0,32000.0,83.33333333333334,3.0,0.2595,124.0,2026.0,2.0,Documentary,basic,True,False,True,False,True,False,False,Approved
0.83,33.0,128.0,112.0,3.0,19.0,16.0,0.0,0.3818,-0.743,44.564561403508776,58.65916666666669,3.0,25.0,5.0,5.0,28333.333333333332,41000.0,40.0,4.0,0.0,3.0,1.0,0.375,36000.0,36000.0,75.0,3.0,0.014225000000000002,176.0,2026.0,4.0,Theater,premium,True,False,False,False,False,True,False,Rejected
0.26,28.0,112.0,72.0,3.0,15.0,11.0,0.0,0.2732,-0.2732,15.640000000000015,47.434318181818185,2.0,10.0,3.0,5.0,30750.0,49000.0,20.0,5.0,3.0,0.0,2.0,0.48,32666.666666666668,40000.0,40.0,4.0,-0.043840000000000004,106.0,2025.0,7.0,Theater,premium,False,True,False,False,False,True,False,Approved
0.8,37.0,123.0,106.0,3.0,19.0,16.0,0.0,0.128,-0.3818,62.37508771929825,63.94666666666669,2.0,22.0,3.0,5.0,22000.0,22000.0,80.0,5.0,2.0,2.0,1.0,0.6399999999999999,20750.0,23000.0,20.0,4.0,0.28106,107.0,2025.0,2.0,Short Film,premium,True,False,True,False,False,True,False,Rejected
0.72,44.0,190.0,68.0,3.0,27.0,11.0,0.0,-0.0258,0.2732,55.00083333333336,78.19795454545455,2.0,25.0,4.0,2.0,13000.0,13000.0,50.0,3.0,1.0,0.0,2.0,0.4444444444444444,29500.0,32000.0,33.33333333333333,2.0,0.1858,123.0,2026.0,2.0,Film,basic,True,False,True,False,True,True,False,Needs Review
0.27,42.0,131.0,147.0,5.0,18.0,23.0,0.0,-0.5302,0.8074,42.46750000000003,72.2596195652174,1.0,23.0,2.0,3.0,0.0,0.0,100.0,6.0,1.0,4.0,1.0,0.5,15000.0,15000.0,83.33333333333334,2.0,0.16903333333333329,87.0,2025.0,10.0,Film,basic,True,False,False,False,False,False,False,Approved
