project_id,project_type_id,title,description,start_date,end_date,synopsis,synopsis_plagiarism_similarity,created_by,package_type_of_user,production_dates,production_locations,crew_roles,casting_roles,review_status
858,Documentary,Organic reciprocal emulation,"Tell election dinner red second. Very foreign card pull manager bill.
West house nor sing require evidence record. Owner rule medical.",2025-08-06,2025-11-20,Career yet few morning. Board kitchen everyone cultural field consumer space. Piece detail set look music.,0.84,melissacook,premium,"{""rehearsal_date"": ""2025-07-18"", ""shooting_start"": ""2025-08-19"", ""duration"": ""3 months""}","[""Galle""]","[{""role_name"": ""Gaffer Assistant"", ""compensation"": ""29K LKR""}, {""role_name"": ""Storyboard Artist"", ""compensation"": ""48K LKR""}, {""role_name"": ""Choreographer"", ""compensation"": ""30K LKR""}, {""role_name"": ""Set Decoration Assistant"", ""compensation"": ""22K LKR""}, {""role_name"": ""Transportation Coordinator"", ""compensation"": ""Negotiable""}]","[{""role_name"": ""Silent Bit Actor"", ""gender"": ""Female"", ""age_range"": ""36-50"", ""compensation"": ""Negotiable"", ""description"": ""Executive hotel child magazine party last lawyer when yes final design just.""}, {""role_name"": ""Supporting Actress"", ""gender"": ""Male"", ""age_range"": ""50+"", ""compensation"": ""20K LKR"", ""description"": ""Number scene vote treat probably by skin public safe with floor design weight.""}, {""role_name"": ""Precision Driver"", ""gender"": ""Non-binary"", ""age_range"": ""6-12"", ""compensation"": ""39K LKR"", ""description"": ""Someone sport down me sign off common news hit strong think traditional ok.""}]",Rejected
859,Theater,Organic zero administration implementation,"Response reality claim body act society. Only situation lot growth across beyond.
Lose study walk its. Win themselves figure leader clearly.",2026-01-02,2026-05-31,About approach team behavior reach Congress special. Front particularly everybody.,0.75,kingzachary,premium,"{""rehearsal_date"": ""2025-12-22"", ""shooting_start"": ""2026-01-05"", ""duration"": ""4 months""}","[""Colombo""]","[{""role_name"": ""Script Supervisor"", ""compensation"": ""Negotiable""}, {""role_name"": ""Foley Artist"", ""compensation"": ""39K LKR""}, {""role_name"": ""Costume Assistant"", ""compensation"": ""29K LKR""}, {""role_name"": ""Production Designer Assistant"", ""compensation"": ""Negotiable""}]","[{""role_name"": ""Narrator"", ""gender"": ""Female"", ""age_range"": ""26-35"", ""compensation"": ""31K LKR"", ""description"": ""Or whom apply president wish series human thing if commercial occur.""}, {""role_name"": ""Dancer"", ""gender"": ""Non-binary"", ""age_range"": ""18-25"", ""compensation"": ""Negotiable"", ""description"": ""Way state other simply game continue thus economic.""}, {""role_name"": ""Theater Actor"", ""gender"": ""Non-binary"", ""age_range"": ""6-12"", ""compensation"": ""Negotiable"", ""description"": ""Beat recently necessary perform modern human might billion degree.""}, {""role_name"": ""Stand-in"", ""gender"": ""Male"", ""age_range"": ""18-25"", ""compensation"": ""33K LKR"", ""description"": ""Piece test wish investment foot though he recent.""}, {""role_name"": ""Featured Extra"", ""gender"": ""Non-binary"", ""age_range"": ""6-12"", ""compensation"": ""Negotiable"", ""description"": ""School head site list record by choose almost.""}, {""role_name"": ""Silent Bit Actor"", ""gender"": ""Non-binary"", ""age_range"": ""18-25"", ""compensation"": ""Negotiable"", ""description"": ""Prepare yourself television top carry prepare question pretty.""}]",Needs Review
860,Film,Fundamental analyzing encryption,"Treat adult red agent cup. Doctor different three what their certain.
Evidence every official. Career trial by foot last find physical. Forward center past.",2024-12-15,2025-01-21,Project however full wide. Course himself reflect price. Fall bar without hour size brother nice special. Foreign hit not particularly piece card.,1.0,stephaniefisher,basic,"{""rehearsal_date"": ""2024-12-05"", ""shooting_start"": ""2024-12-26"", ""duration"": ""1 months""}","[""Nuwara Eliya"", ""Jaffna"", ""Kandy""]","[{""role_name"": ""Director"", ""compensation"": ""48K LKR""}, {""role_name"": ""Special Effects Assistant"", ""compensation"": ""22K LKR""}, {""role_name"": ""Runner"", ""compensation"": ""Negotiable""}, {""role_name"": ""Production Sound Mixer"", ""compensation"": ""12K LKR""}, {""role_name"": ""Editor"", ""compensation"": ""48K LKR""}]","[{""role_name"": ""Commercial Model"", ""gender"": ""Female"", ""age_range"": ""13-17"", ""compensation"": ""34K LKR"", ""description"": ""Congress might enjoy commercial child while third.""}, {""role_name"": ""Special Skills Performer"", ""gender"": ""Male"", ""age_range"": ""36-50"", ""compensation"": ""Negotiable"", ""description"": ""Themselves person either between campaign stage poor seek than business race.""}, {""role_name"": ""Protagonist"", ""gender"": ""Male"", ""age_range"": ""36-50"", ""compensation"": ""19K LKR"", ""description"": ""Risk audience actually majority be step.""}, {""role_name"": ""Teen Actor"", ""gender"": ""Male"", ""age_range"": ""6-12"", ""compensation"": ""30K LKR"", ""description"": ""Nice another common court boy television arm particular they son light popular.""}]",Rejected
861,TV,Configurable 3rdgeneration system engine,Could gun dinner poor rock book moment. General information many. Between receive authority child figure seven simply.,2025-12-11,2026-03-12,Test capital long financial girl. Health life week bad able time.,0.78,davisdaniel,premium,"{""rehearsal_date"": ""2025-11-20"", ""shooting_start"": ""2025-12-13"", ""duration"": ""3 months""}","[""Trincomalee""]","[{""role_name"": ""Second Assistant Director"", ""compensation"": ""31K LKR""}, {""role_name"": ""Music Supervisor"", ""compensation"": ""Negotiable""}, {""role_name"": ""Assistant Camera"", ""compensation"": ""13K LKR""}, {""role_name"": ""Hair Stylist"", ""compensation"": ""10K LKR""}, {""role_name"": ""Location Manager"", ""compensation"": ""18K LKR""}]","[{""role_name"": ""Circus Performer"", ""gender"": ""Non-binary"", ""age_range"": ""18-25"", ""compensation"": ""Negotiable"", ""description"": ""Also under far dark tonight whose six question customer.""}, {""role_name"": ""Child Actor"", ""gender"": ""Non-binary"", ""age_range"": ""36-50"", ""compensation"": ""20K LKR"", ""description"": ""Beautiful cell street religious human accept push fight game.""}, {""role_name"": ""Radio Actor"", ""gender"": ""Female"", ""age_range"": ""36-50"", ""compensation"": ""Negotiable"", ""description"": ""Success drug stuff discussion provide especially support.""}, {""role_name"": ""Fight Coordinator"", ""gender"": ""Female"", ""age_range"": ""26-35"", ""compensation"": ""15K LKR"", ""description"": ""Explain daughter he particularly baby focus again ground sing see study tax.""}, {""role_name"": ""Singer"", ""gender"": ""Non-binary"", ""age_range"": ""50+"", ""compensation"": ""36K LKR"", ""description"": ""Senior design indeed her owner word at.""}]",Needs Review
862,TV,Enhanced heuristic Graphical User Interface,"Realize discover cut. Production paper medical week.
Series arrive must tough.
Country he analysis. Scene official bit field hotel though.",2024-12-14,2025-01-15,"Science oil couple anyone threat. Outside fund yeah bad.
Last laugh fish believe season view candidate both. Great against since blue time group.",0.92,whitekaren,premium,"{""rehearsal_date"": ""2024-11-23"", ""shooting_start"": ""2024-12-16"", ""duration"": ""1 months""}","[""Galle"", ""Trincomalee""]","[{""role_name"": ""Publicist"", ""compensation"": ""Negotiable""}, {""role_name"": ""Costume Assistant"", ""compensation"": ""25K LKR""}, {""role_name"": ""Music Supervisor"", ""compensation"": ""22K LKR""}, {""role_name"": ""Colorist"", ""compensation"": ""21K LKR""}, {""role_name"": ""Transportation Coordinator"", ""compensation"": ""23K LKR""}]","[{""role_name"": ""Featured Extra"", ""gender"": ""Male"", ""age_range"": ""36-50"", ""compensation"": ""39K LKR"", ""description"": ""Also guy while recognize vote thing return letter future oil we meeting body.""}, {""role_name"": ""Narrator"", ""gender"": ""Male"", ""age_range"": ""6-12"", ""compensation"": ""28K LKR"", ""description"": ""Government successful reality audience meeting determine commercial throw take hand.""}, {""role_name"": ""Featured Extra"", ""gender"": ""Non-binary"", ""age_range"": ""50+"", ""compensation"": ""Negotiable"", ""description"": ""Night media heart their seat later yard point teacher rock act system.""}, {""role_name"": ""Antagonist"", ""gender"": ""Non-binary"", ""age_range"": ""18-25"", ""compensation"": ""38K LKR"", ""description"": ""Manager time campaign happy reason get get notice continue.""}, {""role_name"": ""Musical Performer"", ""gender"": ""Female"", ""age_range"": ""13-17"", ""compensation"": ""37K LKR"", ""description"": ""Year sell film garden so back close claim even.""}]",Rejected
863,Short Film,Distributed regional strategy,Example national option activity hope finish language. Near issue talk clearly.,2024-09-12,2025-01-31,Style land ten board card instead. Hundred attorney quality point. Daughter push billion available necessary.,0.59,jennifer83,free,"{""rehearsal_date"": ""2024-09-02"", ""shooting_start"": ""2024-09-25"", ""duration"": ""4 months""}","[""Kandy"", ""Jaffna"", ""Galle""]","[{""role_name"": ""Production Designer"", ""compensation"": ""37K LKR""}, {""role_name"": ""Production Designer Assistant"", ""compensation"": ""Negotiable""}, {""role_name"": ""Sound Mixer"", ""compensation"": ""Negotiable""}, {""role_name"": ""Boom Operator"", ""compensation"": ""Negotiable""}, {""role_name"": ""Production Designer"", ""compensation"": ""26K LKR""}]","[{""role_name"": ""Radio Actor"", ""gender"": ""Male"", ""age_range"": ""6-12"", ""compensation"": ""Negotiable"", ""description"": ""Run personal morning have subject small some response white.""}, {""role_name"": ""Musical Performer"", ""gender"": ""Male"", ""age_range"": ""13-17"", ""compensation"": ""Negotiable"", ""description"": ""Write owner able often now address military.""}, {""role_name"": ""Child Actor"", ""gender"": ""Male"", ""age_range"": ""6-12"", ""compensation"": ""Negotiable"", ""description"": ""Factor dinner his recently bank remember them.""}, {""role_name"": ""Mime Artist"", ""gender"": ""Non-binary"", ""age_range"": ""36-50"", ""compensation"": ""Negotiable"", ""description"": ""Might sign fall upon majority expert recognize likely page successful save two plant.""}, {""role_name"": ""Stand-up Comedian"", ""gender"": ""Male"", ""age_range"": ""36-50"", ""compensation"": ""Negotiable"", ""description"": ""Treatment effect decide mouth little significant TV firm later indeed.""}]",Needs Review
864,Short Film,Organized scalable customer loyalty,"Into pay peace doctor theory. Animal move seat happen yes scientist ask.
Daughter represent only conference science positive.",2026-01-18,2026-07-16,Away production head drive yet analysis several station. News already brother leader.,0.81,atorres,free,"{""rehearsal_date"": ""2026-01-08"", ""shooting_start"": ""2026-01-24"", ""duration"": ""5 months""}","[""Trincomalee"", ""Colombo""]","[{""role_name"": ""Makeup Artist"", ""compensation"": ""Negotiable""}, {""role_name"": ""Script Reader"", ""compensation"": ""20K LKR""}, {""role_name"": ""Visual Effects Assistant"", ""compensation"": ""Negotiable""}, {""role_name"": ""Art Department Assistant"", ""compensation"": ""38K LKR""}, {""role_name"": ""Colorist"", ""compensation"": ""45K LKR""}]","[{""role_name"": ""Musical Performer"", ""gender"": ""Male"", ""age_range"": ""6-12"", ""compensation"": ""40K LKR"", ""description"": ""Section surface author red teach situation more machine couple.""}, {""role_name"": ""Lead Actor"", ""gender"": ""Female"", ""age_range"": ""26-35"", ""compensation"": ""28K LKR"", ""description"": ""Both Congress play animal improve only.""}, {""role_name"": ""Featured Extra"", ""gender"": ""Female"", ""age_range"": ""36-50"", ""compensation"": ""Negotiable"", ""description"": ""Head interview great store peace box than yard successful money.""}, {""role_name"": ""Featured Extra"", ""gender"": ""Male"", ""age_range"": ""13-17"", ""compensation"": ""Negotiable"", ""description"": ""Very policy present report mission reduce.""}, {""role_name"": ""Cameo Appearance"", ""gender"": ""Female"", ""age_range"": ""13-17"", ""compensation"": ""Negotiable"", ""description"": ""Identify effort marriage section left role wind approach argue.""}, {""role_name"": ""Theater Actor"", ""gender"": ""Male"", ""age_range"": ""6-12"", ""compensation"": ""Negotiable"", ""description"": ""Agreement sometimes subject continue city wind available door interview not.""}]",Rejected
865,Theater,Business-focused next generation complexity,Board the prevent issue respond western whether. That main information something. Want language nor up yeah wear language. How follow list professional high pass.,2024-07-25,2024-11-24,Market executive serious physical other finish. Brother win study rise above meet. Enjoy trade doctor cold movement include apply effort.,0.86,dnixon,free,"{""rehearsal_date"": ""2024-07-06"", ""shooting_start"": ""2024-08-04"", ""duration"": ""4 months""}","[""Jaffna"", ""Kandy""]","[{""role_name"": ""Production Designer Assistant"", ""compensation"": ""Negotiable""}, {""role_name"": ""Hair Stylist"", ""compensation"": ""32K LKR""}, {""role_name"": ""Foley Artist"", ""compensation"": ""Negotiable""}]","[{""role_name"": ""Lead Actor"", ""gender"": ""Non-binary"", ""age_range"": ""13-17"", ""compensation"": ""Negotiable"", ""description"": ""Alone one what cell race you white believe hard thank war every.""}, {""role_name"": ""Musician"", ""gender"": ""Male"", ""age_range"": ""6-12"", ""compensation"": ""32K LKR"", ""description"": ""Clearly they seat assume international mouth others class few.""}, {""role_name"": ""Cameo Appearance"", ""gender"": ""Female"", ""age_range"": ""26-35"", ""compensation"": ""Negotiable"", ""description"": ""East support marriage book air throw.""}, {""role_name"": ""Voice Actor"", ""gender"": ""Female"", ""age_range"": ""6-12"", ""compensation"": ""Negotiable"", ""description"": ""Loss hotel art ahead condition begin subject field possible development middle.""}, {""role_name"": ""Lead Actress"", ""gender"": ""Non-binary"", ""age_range"": ""18-25"", ""compensation"": ""25K LKR"", ""description"": ""Answer born list heavy movement quality surface cultural itself mother foreign dream.""}]",Rejected
866,Documentary,Balanced eco-centric info-mediaries,"Condition performance bill it. A budget which set.
Economic for interesting side. Matter we woman serve.",2026-03-07,2026-07-19,Blue follow job site section. Space central camera address above blood ask. Size war behavior together stand agree degree.,0.44,frazierautumn,free,"{""rehearsal_date"": ""2026-02-17"", ""shooting_start"": ""2026-03-14"", ""duration"": ""4 months""}","[""Colombo"", ""Trincomalee""]","[{""role_name"": ""Camera Operator"", ""compensation"": ""16K LKR""}, {""role_name"": ""Grip"", ""compensation"": ""34K LKR""}, {""role_name"": ""Assistant Editor"", ""compensation"": ""39K LKR""}]","[{""role_name"": ""Cameo Appearance"", ""gender"": ""Male"", ""age_range"": ""50+"", ""compensation"": ""23K LKR"", ""description"": ""Night get our cell until really age.""}, {""role_name"": ""Child Actor"", ""gender"": ""Non-binary"", ""age_range"": ""13-17"", ""compensation"": ""17K LKR"", ""description"": ""Leader finish raise above especially different.""}, {""role_name"": ""Celebrity Guest"", ""gender"": ""Non-binary"", ""age_range"": ""36-50"", ""compensation"": ""39K LKR"", ""description"": ""Improve or mother day change opportunity responsibility loss American.""}, {""role_name"": ""Featured Extra"", ""gender"": ""Female"", ""age_range"": ""13-17"", ""compensation"": ""22K LKR"", ""description"": ""Exactly job officer brother significant standard age watch.""}, {""role_name"": ""Featured Extra"", ""gender"": ""Female"", ""age_range"": ""50+"", ""compensation"": ""21K LKR"", ""description"": ""Others reflect week method great area free there bank its stuff big.""}]",Approved
867,TV,Intuitive upward-trending orchestration,"Big instead by response.
North base one commercial. Rock central rock among watch.
Set at concern. Process hand commercial process central million here when.",2025-08-21,2025-11-23,Season begin big thing hundred industry. Meet quickly event cultural dark feel church.,0.95,tanya72,free,"{""rehearsal_date"": ""2025-08-13"", ""shooting_start"": ""2025-09-04"", ""duration"": ""3 months""}","[""Colombo""]","[{""role_name"": ""Gaffer Assistant"", ""compensation"": ""27K LKR""}, {""role_name"": ""Sound Re-recording Mixer"", ""compensation"": ""Negotiable""}, {""role_name"": ""Music Editor"", ""compensation"": ""42K LKR""}, {""role_name"": ""Assistant Editor"", ""compensation"": ""12K LKR""}, {""role_name"": ""Grip"", ""compensation"": ""Negotiable""}]","[{""role_name"": ""Stunt Double"", ""gender"": ""Female"", ""age_range"": ""18-25"", ""compensation"": ""37K LKR"", ""description"": ""Mother politics wall cut along coach store player present travel expect.""}, {""role_name"": ""Special Skills Performer"", ""gender"": ""Male"", ""age_range"": ""26-35"", ""compensation"": ""Negotiable"", ""description"": ""Just on fire training moment character really quality a late politics.""}, {""role_name"": ""Host/Presenter"", ""gender"": ""Female"", ""age_range"": ""13-17"", ""compensation"": ""Negotiable"", ""description"": ""Account chance baby great summer occur some clear.""}, {""role_name"": ""Host/Presenter"", ""gender"": ""Non-binary"", ""age_range"": ""18-25"", ""compensation"": ""38K LKR"", ""description"": ""Lot especially understand minute voice other college establish recent help hour.""}, {""role_name"": ""Dancer"", ""gender"": ""Female"", ""age_range"": ""6-12"", ""compensation"": ""16K LKR"", ""description"": ""Strong day stage blood responsibility will degree picture although they state gas interesting.""}]",Rejected
868,Film,Face-to-face bifurcated throughput,Peace her central she discuss imagine. For soldier discuss major stand hotel want.,2024-10-15,2025-03-27,Above method thus day. Street fish design share test commercial citizen.,0.84,mcbridefrank,basic,"{""rehearsal_date"": ""2024-10-08"", ""shooting_start"": ""2024-10-28"", ""duration"": ""5 months""}","[""Nuwara Eliya"", ""Galle"", ""Kandy""]","[{""role_name"": ""Property Master"", ""compensation"": ""43K LKR""}, {""role_name"": ""Social Media Manager"", ""compensation"": ""49K LKR""}, {""role_name"": ""Colorist"", ""compensation"": ""39K LKR""}, {""role_name"": ""Art Director"", ""compensation"": ""Negotiable""}]","[{""role_name"": ""Cameo Appearance"", ""gender"": ""Male"", ""age_range"": ""13-17"", ""compensation"": ""38K LKR"", ""description"": ""Although ago must back manager should garden enjoy offer nature.""}, {""role_name"": ""Voice Actor"", ""gender"": ""Non-binary"", ""age_range"": ""13-17"", ""compensation"": ""Negotiable"", ""description"": ""Easy believe account total worry still number respond mouth main religious picture.""}, {""role_name"": ""Background Actor"", ""gender"": ""Non-binary"", ""age_range"": ""13-17"", ""compensation"": ""Negotiable"", ""description"": ""Home design sure watch that risk lay building Mrs prove six future.""}, {""role_name"": ""Lead Actress"", ""gender"": ""Female"", ""age_range"": ""36-50"", ""compensation"": ""Negotiable"", ""description"": ""Better structure evening turn student newspaper business small either senior rest charge.""}, {""role_name"": ""Stunt Performer"", ""gender"": ""Female"", ""age_range"": ""26-35"", ""compensation"": ""33K LKR"", ""description"": ""Pattern feeling training represent him respond.""}, {""role_name"": ""Singer"", ""gender"": ""Male"", ""age_range"": ""26-35"", ""compensation"": ""Negotiable"", ""description"": ""Option audience turn generation center since official water admit.""}]",Rejected
869,Film,Pre-emptive optimizing concept,"Evening politics case ever might. Air green check probably close. Perhaps boy phone me itself among enjoy.
Woman better seek mind. Old learn film size environment event majority.",2025-08-19,2026-01-17,Such reach imagine deep. Talk consumer over several. Cold life tax deep offer.,0.75,anthony74,free,"{""rehearsal_date"": ""2025-08-02"", ""shooting_start"": ""2025-08-22"", ""duration"": ""5 months""}","[""Colombo"", ""Nuwara Eliya""]","[{""role_name"": ""Producer"", ""compensation"": ""41K LKR""}, {""role_name"": ""Director of Photography"", ""compensation"": ""Negotiable""}]","[{""role_name"": ""Musician"", ""gender"": ""Male"", ""age_range"": ""18-25"", ""compensation"": ""Negotiable"", ""description"": ""Send agree serious voice especially cultural.""}, {""role_name"": ""Teen Actor"", ""gender"": ""Female"", ""age_range"": ""26-35"", ""compensation"": ""30K LKR"", ""description"": ""Air one themselves pull institution where case.""}, {""role_name"": ""Radio Actor"", ""gender"": ""Female"", ""age_range"": ""36-50"", ""compensation"": ""Negotiable"", ""description"": ""Spring century smile whether none have body space.""}]",Needs Review
870,Film,Persevering asymmetric algorithm,"Grow late remember ok. Enjoy opportunity participant skill pick true term.
Month paper together town. Mother husband your exactly side people front.",2024-10-17,2025-01-17,"Box start focus low return. Former great drive born. Race hear again value.
Build moment much. Leave special group station series. Firm whom data.",0.9,tanyajohnson,free,"{""rehearsal_date"": ""2024-10-03"", ""shooting_start"": ""2024-10-30"", ""duration"": ""3 months""}","[""Kandy"", ""Galle""]","[{""role_name"": ""Production Designer"", ""compensation"": ""24K LKR""}, {""role_name"": ""Production Assistant"", ""compensation"": ""Negotiable""}]","[{""role_name"": ""Magician"", ""gender"": ""Male"", ""age_range"": ""50+"", ""compensation"": ""17K LKR"", ""description"": ""Discussion last themselves travel fish attack.""}, {""role_name"": ""Dancer"", ""gender"": ""Female"", ""age_range"": ""50+"", ""compensation"": ""Negotiable"", ""description"": ""Rich own rich return medical person this inside.""}, {""role_name"": ""Stunt Double"", ""gender"": ""Male"", ""age_range"": ""6-12"", ""compensation"": ""31K LKR"", ""description"": ""Guy improve author choose everybody different start admit product travel high training marriage.""}]",Rejected
871,Short Film,Right-sized global knowledge user,"Congress why oil no week thing thought affect. Live song see pass since.
Today final husband act democratic water also college. Occur edge true star. Such learn personal.",2025-04-04,2025-09-22,"Smile who region character.
Be girl sister. Despite once you learn.",0.69,smithvictoria,premium,"{""rehearsal_date"": ""2025-03-22"", ""shooting_start"": ""2025-04-07"", ""duration"": ""5 months""}","[""Nuwara Eliya"", ""Kandy""]","[{""role_name"": ""Costume Designer"", ""compensation"": ""48K LKR""}, {""role_name"": ""Production Accountant"", ""compensation"": ""18K LKR""}, {""role_name"": ""Visual Effects Supervisor"", ""compensation"": ""Negotiable""}]","[{""role_name"": ""Guest Star"", ""gender"": ""Female"", ""age_range"": ""26-35"", ""compensation"": ""23K LKR"", ""description"": ""Always next young market work arm candidate like because close place customer.""}, {""role_name"": ""Protagonist"", ""gender"": ""Male"", ""age_range"": ""13-17"", ""compensation"": ""22K LKR"", ""description"": ""Fear role image decision doctor or form thank remain last reveal well goal.""}, {""role_name"": ""Radio Actor"", ""gender"": ""Female"", ""age_range"": ""26-35"", ""compensation"": ""Negotiable"", ""description"": ""Glass just on wear reach result class member market rest your only end.""}]",Needs Review
872,TV,Balanced multimedia monitoring,"Dark west down game. Machine kind daughter kitchen class.
School realize again pick side fight. Media performance expert short attack east experience nor.",2025-05-19,2025-09-18,Hear test suggest contain ten structure recent.,0.94,jimenezphillip,basic,"{""rehearsal_date"": ""2025-05-02"", ""shooting_start"": ""2025-05-24"", ""duration"": ""4 months""}","[""Jaffna"", ""Colombo""]","[{""role_name"": ""Wardrobe Supervisor"", ""compensation"": ""16K LKR""}, {""role_name"": ""Camera Assistant"", ""compensation"": ""Negotiable""}, {""role_name"": ""Legal Advisor"", ""compensation"": ""26K LKR""}, {""role_name"": ""Assistant Editor"", ""compensation"": ""Negotiable""}, {""role_name"": ""Runner"", ""compensation"": ""Negotiable""}]","[{""role_name"": ""Dubbing Artist"", ""gender"": ""Female"", ""age_range"": ""13-17"", ""compensation"": ""38K LKR"", ""description"": ""No draw field nothing part gas law inside.""}, {""role_name"": ""Protagonist"", ""gender"": ""Non-binary"", ""age_range"": ""6-12"", ""compensation"": ""Negotiable"", ""description"": ""Your camera recognize letter put seven record light give.""}, {""role_name"": ""Celebrity Guest"", ""gender"": ""Male"", ""age_range"": ""26-35"", ""compensation"": ""Negotiable"", ""description"": ""Detail find message improve place really imagine walk.""}, {""role_name"": ""Voice Actor"", ""gender"": ""Female"", ""age_range"": ""50+"", ""compensation"": ""Negotiable"", ""description"": ""Manager drive despite Mr everyone course.""}]",Rejected
873,TV,Polarized user-facing flexibility,Win begin movie job man lose. Report soon mean store give indicate. Wall without morning worry.,2025-04-17,2025-06-23,Over huge pretty across remember cup. Sister all edge range. Who test break organization why. Election lot same decide realize name image.,0.11,linda76,free,"{""rehearsal_date"": ""2025-04-08"", ""shooting_start"": ""2025-05-01"", ""duration"": ""2 months""}","[""Colombo"", ""Trincomalee"", ""Galle""]","[{""role_name"": ""Colorist"", ""compensation"": ""49K LKR""}, {""role_name"": ""Production Coordinator"", ""compensation"": ""46K LKR""}, {""role_name"": ""Visual Effects Assistant"", ""compensation"": ""Negotiable""}, {""role_name"": ""Assistant Editor"", ""compensation"": ""12K LKR""}]","[{""role_name"": ""Stand-in"", ""gender"": ""Female"", ""age_range"": ""18-25"", ""compensation"": ""Negotiable"", ""description"": ""Feeling market interview game church few edge third.""}, {""role_name"": ""Guest Star"", ""gender"": ""Non-binary"", ""age_range"": ""36-50"", ""compensation"": ""Negotiable"", ""description"": ""Often plan arm Republican include gun young party.""}, {""role_name"": ""Mime Artist"", ""gender"": ""Female"", ""age_range"": ""13-17"", ""compensation"": ""Negotiable"", ""description"": ""Hit word experience according me bed ask tonight agreement.""}]",Approved
874,Documentary,Phased bandwidth-monitored throughput,Ask future allow appear staff. Against eye young research current record. Population investment PM success audience court deal. Player reflect citizen threat weight letter.,2024-08-24,2024-12-19,Edge be parent page note happy thing. Type who factor by ago house artist.,0.63,phillipsjeremy,free,"{""rehearsal_date"": ""2024-08-12"", ""shooting_start"": ""2024-08-30"", ""duration"": ""3 months""}","[""Nuwara Eliya"", ""Colombo"", ""Galle""]","[{""role_name"": ""Script Supervisor"", ""compensation"": ""Negotiable""}, {""role_name"": ""Art Director"", ""compensation"": ""44K LKR""}, {""role_name"": ""Music Supervisor"", ""compensation"": ""21K LKR""}, {""role_name"": ""Driver"", ""compensation"": ""42K LKR""}, {""role_name"": ""Dolly Grip"", ""compensation"": ""20K LKR""}]","[{""role_name"": ""Supporting Actor"", ""gender"": ""Female"", ""age_range"": ""50+"", ""compensation"": ""Negotiable"", ""description"": ""Structure his field own point research example collection soon boy indeed hold.""}, {""role_name"": ""Stunt Performer"", ""gender"": ""Non-binary"", ""age_range"": ""13-17"", ""compensation"": ""22K LKR"", ""description"": ""Matter minute particularly defense floor continue.""}, {""role_name"": ""Stand-in"", ""gender"": ""Female"", ""age_range"": ""13-17"", ""compensation"": ""Negotiable"", ""description"": ""Skin final medical figure quite song leader above research make no address where cultural.""}, {""role_name"": ""Antagonist"", ""gender"": ""Male"", ""age_range"": ""6-12"", ""compensation"": ""33K LKR"", ""description"": ""House yeah offer health sense similar notice baby campaign thing different edge.""}, {""role_name"": ""Celebrity Guest"", ""gender"": ""Male"", ""age_range"": ""13-17"", ""compensation"": ""Negotiable"", ""description"": ""Knowledge building then bag trouble kid able fight college certainly answer whole conference.""}, {""role_name"": ""Teen Actor"", ""gender"": ""Female"", ""age_range"": ""50+"", ""compensation"": ""27K LKR"", ""description"": ""Air yeah difference unit level small cause music nature see.""}]",Needs Review
875,Theater,Assimilated multi-tasking intranet,Their indicate blood concern material. Minute south method world rather. View impact piece usually time trip.,2025-03-17,2025-06-27,Remain voice around. Boy claim particular.,0.07,harrisjames,premium,"{""rehearsal_date"": ""2025-03-04"", ""shooting_start"": ""2025-03-21"", ""duration"": ""3 months""}","[""Nuwara Eliya"", ""Colombo""]","[{""role_name"": ""Unit Still Photographer"", ""compensation"": ""Negotiable""}, {""role_name"": ""Second Assistant Director"", ""compensation"": ""50K LKR""}]","[{""role_name"": ""Stand-up Comedian"", ""gender"": ""Female"", ""age_range"": ""50+"", ""compensation"": ""22K LKR"", ""description"": ""Marriage present bill girl better likely note.""}, {""role_name"": ""Puppeteer"", ""gender"": ""Female"", ""age_range"": ""50+"", ""compensation"": ""Negotiable"", ""description"": ""Pretty a far success country teacher fill particularly agree book.""}, {""role_name"": ""Celebrity Guest"", ""gender"": ""Male"", ""age_range"": ""13-17"", ""compensation"": ""33K LKR"", ""description"": ""Become themselves form as care each method development cup data action option.""}, {""role_name"": ""Magician"", ""gender"": ""Female"", ""age_range"": ""13-17"", ""compensation"": ""Negotiable"", ""description"": ""Best writer fact approach central south morning field magazine according social.""}, {""role_name"": ""Stand-up Comedian"", ""gender"": ""Female"", ""age_range"": ""36-50"", ""compensation"": ""Negotiable"", ""description"": ""Year sort get past reflect effort political heart couple skin personal.""}]",Approved
