project_id,project_type,title,description,start_date,end_date,synopsis,plagiarism_similarity,production_dates,production_locations,crew_roles,casting_roles,review_status
11,Theater,User-friendly client-driven architecture,Future skin environment able rise study. Your majority chance Mrs generation necessary myself lay.,2025-02-25,2025-08-10,Them key moment lead reveal improve pressure child light wide full realize power system.,59.68692663242599,"[{'dateType': 'Rehearsal Dates', 'dateRange': ['2025-08-09', '2025-08-16']}, {'dateType': 'Audition Dates', 'dateRange': ['2025-07-05', '2025-07-09']}]","[{'locationType': 'Rehearsal Location', 'location': 'Finleyfort'}]","['Second Assistant Director', 'Camera Assistant', 'Producer', 'Script Reader']","['Teen Actor', 'Lead Actor', 'Host/Presenter', 'Circus Performer']",Needs Review
12,Film,Quality-focused 5thgeneration process improvement,"Piece TV young section its. Set region beyond coach.
Animal someone fall. Issue each include radio conference company.",2024-02-12,2024-03-17,Grow fast recognize against stop how account ten sing wind treat seat strategy total simply discover soon despite couple economy sense should race carry best physical.,40.112299323375524,"[{'dateType': 'Rehearsal Dates', 'dateRange': ['2024-02-13', '2024-02-19']}, {'dateType': 'Shooting Dates', 'dateRange': ['2024-02-26', '2024-03-03']}]","[{'locationType': 'Rehearsal Location', 'location': 'Johnsonstad'}, {'locationType': 'Rehearsal Location', 'location': 'North Renee'}, {'locationType': 'Shooting Location', 'location': 'Julieburgh'}]","['Legal Advisor', 'Unit Still Photographer', 'Makeup Artist', 'Boom Operator', 'Foley Artist', 'Set Decoration Assistant', 'Property Master', 'Transportation Coordinator']","['Featured Extra', 'Protagonist']",Needs Review
13,TV,Exclusive clear-thinking toolset,"Most tree store either station loss. Second full boy while cell. Team right woman whose source.
So add Mr lawyer. Once state wait board doctor. People wall foreign.",2023-11-25,2024-01-09,Real describe know door guy wonder happen top population art every why.,33.6581145878118,"[{'dateType': 'Shooting Dates', 'dateRange': ['2024-01-05', '2024-01-08']}]","[{'locationType': 'Shooting Location', 'location': 'Davisborough'}, {'locationType': 'Rehearsal Location', 'location': 'North Kristinbury'}, {'locationType': 'Shooting Location', 'location': 'Port Anne'}]","['Composer', 'Legal Advisor', 'Visual Effects Supervisor']","['Musical Performer', 'Stand-up Comedian', 'Supporting Actor', 'Voiceover Artist']",Needs Review
14,Film,Cloned well-modulated neural-net,"Democratic thank forget challenge too able teach certain. Music sometimes body term.
Group small open. Company appear score.",2024-10-26,2025-01-15,Available ball part assume every plan nature foot yes most law painting between reduce table prepare shoulder result Democrat later direction fund law.,15.763430754908683,"[{'dateType': 'Shooting Dates', 'dateRange': ['2024-12-05', '2024-12-14']}]","[{'locationType': 'Rehearsal Location', 'location': 'West Ronaldview'}]","['Publicist', 'Production Designer Assistant', 'Production Coordinator', 'Assistant Director', 'Director of Photography']","['Theater Actor', 'Celebrity Guest']",Approved
15,TV,Multi-layered coherent software,"Before be it season. Speech news only no form business. Them wait institution trouble anything explain.
Billion medical choice lot suggest glass. Happen several off southern suddenly window stand.",2023-08-22,2023-10-04,Anyone bank kitchen interest parent increase democratic mention generation book question or money final determine worker area daughter war should share face build market issue can mouth.,49.55046069586163,"[{'dateType': 'Shooting Dates', 'dateRange': ['2023-09-02', '2023-09-03']}]","[{'locationType': 'Shooting Location', 'location': 'Charleston'}, {'locationType': 'Shooting Location', 'location': 'Smithland'}]","['Social Media Manager', 'Production Assistant', 'Sound Editor', 'Foley Artist', 'Hair Assistant']","['Background Actor', 'Antagonist', 'Magician', 'Lead Actor', 'Commercial Model']",Approved
16,Theater,Intuitive object-oriented interface,Remember individual boy again foot soon. Least ready gun join black job hundred bad. Second develop single baby plan.,2025-02-21,2025-05-22,Firm key light place someone option goal avoid left also hard expert popular within bed order his oil west school American training occur could painting may whatever late.,32.59593529455471,"[{'dateType': 'Audition Dates', 'dateRange': ['2025-05-10', '2025-05-13']}, {'dateType': 'Audition Dates', 'dateRange': ['2025-05-19', '2025-05-22']}, {'dateType': 'Audition Dates', 'dateRange': ['2025-05-13', '2025-05-18']}]","[{'locationType': 'Rehearsal Location', 'location': 'Toniland'}]","['Script Reader', 'Camera Assistant', 'Costume Assistant', 'Sound Re-recording Mixer', 'Dialogue Editor', 'Composer', 'Music Supervisor', 'Colorist']","['Silent Bit Actor', 'Child Actor']",Approved
17,Theater,Profit-focused secondary conglomeration,"Remain yard model particular hair.
Impact full our smile positive at. Newspaper hit edge surface.",2024-12-07,2025-02-18,Court yourself choice fast small medical music school money product then peace others child Congress realize person total return analysis hair rest wide particular.,51.41743290241911,"[{'dateType': 'Rehearsal Dates', 'dateRange': ['2025-02-17', '2025-02-27']}]","[{'locationType': 'Shooting Location', 'location': 'Youngbury'}, {'locationType': 'Rehearsal Location', 'location': 'Tammyfort'}, {'locationType': 'Shooting Location', 'location': 'West Erika'}]","['Script Supervisor', 'Visual Effects Supervisor', 'Driver', 'Production Sound Mixer', 'Art Department Assistant', 'Set Dresser', 'Second Assistant Director']","['Lead Actor', 'Musical Performer']",Needs Review
18,Theater,Re-engineered leadingedge Local Area Network,"Me industry class current painting their. Political them never.
Surface expect several evening town challenge join. Stage this us increase how.",2024-06-04,2024-08-29,Book explain feeling answer information soldier lead book toward others administration middle drop century investment pass drive indicate professor beat window attack.,29.66069911038293,"[{'dateType': 'Rehearsal Dates', 'dateRange': ['2024-07-25', '2024-07-31']}, {'dateType': 'Shooting Dates', 'dateRange': ['2024-07-26', '2024-07-27']}]","[{'locationType': 'Rehearsal Location', 'location': 'South Morganton'}, {'locationType': 'Rehearsal Location', 'location': 'Zavalaview'}]","['Hair Assistant', 'Visual Effects Assistant', 'Music Supervisor']","['Child Actor', 'Stand-in']",Needs Review
19,Theater,User-friendly 3rdgeneration help-desk,Drop price billion old series card. National spend compare single let receive.,2024-02-01,2024-06-16,Threat sea thus hit wind many marriage under mind song risk bad own state nation fly bag produce fill owner international ready goal.,8.251509526358491,"[{'dateType': 'Audition Dates', 'dateRange': ['2024-02-09', '2024-02-18']}, {'dateType': 'Rehearsal Dates', 'dateRange': ['2024-04-09', '2024-04-18']}, {'dateType': 'Shooting Dates', 'dateRange': ['2024-05-30', '2024-06-04']}]","[{'locationType': 'Shooting Location', 'location': 'Hillton'}, {'locationType': 'Shooting Location', 'location': 'Lake Danastad'}, {'locationType': 'Shooting Location', 'location': 'North Douglas'}]","['Foley Artist', 'Music Supervisor', 'Second Assistant Director', 'Driver', 'Casting Director', 'Grip', 'Stunt Coordinator', 'Editor']","['Teen Actor', 'Dubbing Artist']",Approved
20,TV,Robust systematic toolset,"Call door population. Him note painting quickly we head. Off morning huge power.
Ago control military trial. Energy employee land you.",2024-10-24,2025-02-12,Soldier meeting building cut catch so ago network hard sound necessary partner beat finally yourself rest.,49.19391246108852,"[{'dateType': 'Rehearsal Dates', 'dateRange': ['2025-02-03', '2025-02-12']}, {'dateType': 'Rehearsal Dates', 'dateRange': ['2025-01-11', '2025-01-21']}, {'dateType': 'Rehearsal Dates', 'dateRange': ['2025-01-11', '2025-01-20']}]","[{'locationType': 'Rehearsal Location', 'location': 'East Teresaland'}, {'locationType': 'Rehearsal Location', 'location': 'Owenshaven'}]","['Script Supervisor', 'Production Coordinator', 'Assistant Camera', 'Director', 'Colorist', 'Makeup Artist']","['Musician', 'Radio Actor', 'Teen Actor', 'Puppeteer', 'Stand-up Comedian']",Approved
21,Film,Monitored clear-thinking time-frame,Consider whom item treat area buy check clearly. Various different way million exist bad. Play nearly by field move.,2023-12-02,2024-02-21,Lot source rate father authority art keep machine daughter parent fine responsibility safe team wish candidate have no five.,35.55628566032601,"[{'dateType': 'Audition Dates', 'dateRange': ['2024-01-16', '2024-01-20']}, {'dateType': 'Shooting Dates', 'dateRange': ['2023-12-13', '2023-12-17']}, {'dateType': 'Audition Dates', 'dateRange': ['2023-12-27', '2023-12-30']}]","[{'locationType': 'Rehearsal Location', 'location': 'Wrightville'}]","['Unit Still Photographer', 'Costume Designer', 'Sound Mixer', 'Storyboard Artist', 'Set Dresser']","['Stunt Performer', 'Dubbing Artist', 'Lead Actress']",Approved
22,Film,Business-focused explicit info-mediaries,Eat tend civil force officer fine. Marriage method material final. Bed hotel lead. Democrat good anything manager think.,2024-02-05,2024-04-11,Newspaper hand certain own husband American although require sound mind chance throw cause use five hotel pattern successful order medical.,5.5177259726749295,"[{'dateType': 'Shooting Dates', 'dateRange': ['2024-03-25', '2024-03-30']}, {'dateType': 'Audition Dates', 'dateRange': ['2024-03-27', '2024-04-05']}]","[{'locationType': 'Shooting Location', 'location': 'Ericksonport'}]","['Production Accountant', 'Sound Designer', 'Dolly Grip']","['Radio Actor', 'Lead Actor', 'Protagonist', 'Teen Actor']",Needs Review
23,TV,Phased 3rdgeneration hub,"Woman on someone rise. Ago listen whose situation simply officer return on. Modern return simple herself.
Occur red course. Finish charge real improve simple turn.",2024-11-01,2025-03-13,Particular court east newspaper different win father eye debate relate first give value somebody event business quality here.,13.296771482173337,"[{'dateType': 'Rehearsal Dates', 'dateRange': ['2025-01-16', '2025-01-18']}, {'dateType': 'Audition Dates', 'dateRange': ['2025-01-07', '2025-01-11']}, {'dateType': 'Rehearsal Dates', 'dateRange': ['2024-11-29', '2024-12-01']}]","[{'locationType': 'Shooting Location', 'location': 'Bobbyland'}, {'locationType': 'Rehearsal Location', 'location': 'Sandraview'}, {'locationType': 'Rehearsal Location', 'location': 'Lewisside'}]","['Production Assistant', 'Transportation Coordinator', 'Publicist', 'Gaffer Assistant', 'Production Designer']","['Voiceover Artist', 'Teen Actor', 'Stand-in', 'Background Actor', 'Musician']",Needs Review
24,Film,Future-proofed next generation standardization,"Body scientist dream anything. Difficult do beyond form line race case.
Imagine various there local. Sense expert experience arrive shoulder. Discussion school sure also TV individual study.",2023-12-09,2024-01-11,Owner up friend lawyer political modern threat care mean evening speak former room possible responsibility add front far purpose cover particularly police if into foreign husband.,51.67394747285048,"[{'dateType': 'Shooting Dates', 'dateRange': ['2023-12-13', '2023-12-17']}, {'dateType': 'Shooting Dates', 'dateRange': ['2023-12-17', '2023-12-19']}]","[{'locationType': 'Shooting Location', 'location': 'South Marcus'}, {'locationType': 'Shooting Location', 'location': 'North Jose'}, {'locationType': 'Shooting Location', 'location': 'South Karen'}]","['Production Assistant', 'Production Designer', 'Special Effects Supervisor', 'Hair Assistant', 'Director of Photography']","['Silent Bit Actor', 'Voice Actor', 'Puppeteer', 'Celebrity Guest', 'Musician']",Approved
25,TV,Managed exuding paradigm,"End growth door. Let civil rather type. Real police wait happen determine.
Check security paper indeed near likely Mr. Seven quite other skin moment.",2024-09-25,2025-03-09,Rich how staff second official and general as yes various attorney value all important shoulder she within position inside.,13.490929694664109,"[{'dateType': 'Rehearsal Dates', 'dateRange': ['2024-12-08', '2024-12-09']}, {'dateType': 'Audition Dates', 'dateRange': ['2024-12-21', '2024-12-23']}]","[{'locationType': 'Rehearsal Location', 'location': 'Bennettside'}, {'locationType': 'Shooting Location', 'location': 'Lake Michelle'}, {'locationType': 'Rehearsal Location', 'location': 'East Victoriafurt'}]","['Dolly Grip', 'Sound Re-recording Mixer', 'Assistant Director', 'Production Accountant']","['Stand-up Comedian', 'Teen Actor']",Approved
26,Film,Progressive clear-thinking superstructure,"Series without leg. Interest here discover leave choice country themselves.
Special information she. Drive attack order.",2024-05-30,2024-07-11,Including every news option same compare quickly new another general poor high modern recent impact feel contain.,65.22825851872608,"[{'dateType': 'Rehearsal Dates', 'dateRange': ['2024-06-25', '2024-07-02']}, {'dateType': 'Shooting Dates', 'dateRange': ['2024-06-21', '2024-06-23']}]","[{'locationType': 'Rehearsal Location', 'location': 'Port Jeremiah'}, {'locationType': 'Shooting Location', 'location': 'Port Steven'}, {'locationType': 'Rehearsal Location', 'location': 'New Robertchester'}]","['Second Assistant Director', 'Costume Designer', 'Runner', 'Costume Assistant', 'Colorist', 'Craft Services', 'Assistant Director']","['Voiceover Artist', 'Supporting Actress', 'Radio Actor', 'Host/Presenter', 'Cameo Appearance']",Rejected
27,Film,Realigned multi-tasking challenge,Effort form bad last he. Right couple environmental purpose owner them could. Right next look thank four whatever address view.,2024-04-20,2024-09-13,Trial have including none determine certainly end various often individual charge form here street material pressure range either start whom.,14.471760379057654,"[{'dateType': 'Audition Dates', 'dateRange': ['2024-08-22', '2024-08-26']}, {'dateType': 'Audition Dates', 'dateRange': ['2024-09-10', '2024-09-12']}]","[{'locationType': 'Shooting Location', 'location': 'Murraystad'}]","['Costume Designer', 'Script Supervisor', 'Legal Advisor', 'Grip Assistant', 'Publicist', 'Sound Designer', 'Location Manager', 'Hair Assistant']","['Child Actor', 'Stand-in', 'Radio Actor']",Approved
28,Film,Down-sized client-driven success,Contain threat wrong whatever model stuff avoid. Share include successful. Attack character despite lay art.,2024-07-03,2024-12-04,Wrong difficult range summer president teach service behavior here need argue act commercial matter its six not teach.,30.388306509657177,"[{'dateType': 'Rehearsal Dates', 'dateRange': ['2024-07-21', '2024-07-25']}, {'dateType': 'Shooting Dates', 'dateRange': ['2024-10-13', '2024-10-20']}, {'dateType': 'Rehearsal Dates', 'dateRange': ['2024-07-11', '2024-07-19']}]","[{'locationType': 'Shooting Location', 'location': 'East Rachel'}, {'locationType': 'Rehearsal Location', 'location': 'Nelsonland'}, {'locationType': 'Rehearsal Location', 'location': 'Rachelshire'}]","['Casting Director', 'Visual Effects Assistant', 'Transportation Coordinator', 'Special Effects Assistant', 'Property Master', 'Boom Operator', 'Grip Assistant', 'Director']","['Circus Performer', 'Voiceover Artist', 'Precision Driver', 'Mime Artist', 'Musician']",Needs Review
29,Film,Switchable 5thgeneration conglomeration,"Which onto sell. Up federal nor note support quality. Forward sense cause write right may window.
Join stuff future shoulder.",2023-08-02,2023-11-22,Cost large never impact ago government behavior our foot history factor hold be top.,52.88929420999311,"[{'dateType': 'Shooting Dates', 'dateRange': ['2023-09-18', '2023-09-20']}]","[{'locationType': 'Shooting Location', 'location': 'Lake Oscar'}, {'locationType': 'Shooting Location', 'location': 'West Kevin'}]","['Catering Coordinator', 'Sound Re-recording Mixer', 'Hair Assistant', 'Grip', 'Driver']","['Commercial Model', 'Musical Performer', 'Theater Actor', 'Child Actor']",Approved
30,Film,Proactive client-server architecture,"Every feel site guess want result. Order crime blood fight we forward per.
Friend spring teacher wind carry fly. Look concern huge five same. Whose site for exactly skill half usually.",2024-08-25,2024-10-24,Drug probably resource smile available wrong look husband media turn reality myself so growth time Mr point be shoulder.,49.358797779742034,"[{'dateType': 'Shooting Dates', 'dateRange': ['2024-09-28', '2024-09-29']}, {'dateType': 'Rehearsal Dates', 'dateRange': ['2024-09-10', '2024-09-20']}]","[{'locationType': 'Rehearsal Location', 'location': 'New Tonyafurt'}, {'locationType': 'Rehearsal Location', 'location': 'Tammychester'}]","['Script Reader', 'Script Supervisor', 'Special Effects Assistant']","['Dancer', 'Voice Actor', 'Precision Driver', 'Protagonist', 'Radio Actor']",Approved
31,Theater,Customer-focused 24/7 attitude,"Member million oil offer knowledge. Leg quickly real character young lot.
Turn beat story role give gas. Miss give best reveal laugh.
And represent against gas body. Upon scientist might necessary.",2024-06-04,2024-10-13,Others particularly only girl suddenly pay sport relationship father pass be care brother figure consumer really memory industry case himself.,5.091475482887695,"[{'dateType': 'Audition Dates', 'dateRange': ['2024-07-10', '2024-07-13']}, {'dateType': 'Audition Dates', 'dateRange': ['2024-09-06', '2024-09-15']}, {'dateType': 'Audition Dates', 'dateRange': ['2024-10-05', '2024-10-12']}]","[{'locationType': 'Shooting Location', 'location': 'New Garrett'}, {'locationType': 'Rehearsal Location', 'location': 'Donaldmouth'}, {'locationType': 'Rehearsal Location', 'location': 'Harveystad'}]","['Stunt Coordinator', 'Camera Operator', 'Special Effects Supervisor', 'Craft Services', 'Composer', 'Music Supervisor', 'Gaffer Assistant', 'Director of Photography']","['Antagonist', 'Guest Star', 'Supporting Actor', 'Silent Bit Actor', 'Supporting Actress']",Needs Review
32,Theater,Advanced mobile challenge,White measure manager range indeed style. Cold not somebody determine allow different eye.,2024-03-28,2024-06-01,Simply down specific onto go represent plan coach cause deal deal arrive go exactly much.,19.873037770998863,"[{'dateType': 'Audition Dates', 'dateRange': ['2024-04-28', '2024-04-30']}, {'dateType': 'Rehearsal Dates', 'dateRange': ['2024-04-25', '2024-04-29']}, {'dateType': 'Rehearsal Dates', 'dateRange': ['2024-04-25', '2024-05-02']}]","[{'locationType': 'Shooting Location', 'location': 'Stephaniehaven'}, {'locationType': 'Rehearsal Location', 'location': 'East Sydneychester'}, {'locationType': 'Rehearsal Location', 'location': 'West Michelleberg'}]","['Production Accountant', 'Choreographer', 'Craft Services', 'Location Manager', 'Set Dresser', 'Director of Photography', 'Production Assistant']","['Featured Extra', 'Special Skills Performer', 'Silent Bit Actor', 'Stand-up Comedian']",Approved
33,Theater,Total clear-thinking encryption,Stock seven put majority officer environmental. Heart away some shoulder idea seek.,2024-10-03,2025-03-10,Animal phone student administration upon citizen lead yeah into yet travel think few.,77.80351220495132,"[{'dateType': 'Shooting Dates', 'dateRange': ['2024-11-25', '2024-12-04']}, {'dateType': 'Rehearsal Dates', 'dateRange': ['2024-10-21', '2024-10-31']}]","[{'locationType': 'Shooting Location', 'location': 'Johnstad'}]","['Legal Advisor', 'Visual Effects Assistant', 'Composer', 'Sound Designer', 'Social Media Manager', 'Hair Stylist']","['Celebrity Guest', 'Theater Actor', 'Lead Actor', 'Background Actor']",Rejected
34,Film,Synchronized solution-oriented concept,"Personal rise sense investment before believe.
Back order mind knowledge account gas building. Really local director become south billion.",2023-06-28,2023-10-26,Cause but role goal investment social easy popular easy over return expect wait agree.,64.26660463543222,"[{'dateType': 'Audition Dates', 'dateRange': ['2023-08-25', '2023-08-27']}, {'dateType': 'Audition Dates', 'dateRange': ['2023-08-06', '2023-08-10']}]","[{'locationType': 'Rehearsal Location', 'location': 'Lake Peter'}, {'locationType': 'Rehearsal Location', 'location': 'Port Rachaelbury'}]","['Production Coordinator', 'Hair Assistant', 'Editor', 'Composer', 'Second Assistant Director', 'Runner', 'Sound Mixer']","['Radio Actor', 'Cameo Appearance']",Rejected
35,Film,Proactive human-resource budgetary management,"Point audience thousand activity guess first hit. Inside national common likely would authority onto.
Democratic two we huge expert.",2025-02-07,2025-04-14,Around beat its law participant finally score scientist budget remain reduce clearly well mission situation result cold camera.,27.291333235452228,"[{'dateType': 'Rehearsal Dates', 'dateRange': ['2025-03-05', '2025-03-11']}]","[{'locationType': 'Shooting Location', 'location': 'Port Rachelmouth'}, {'locationType': 'Shooting Location', 'location': 'Nelsonland'}, {'locationType': 'Shooting Location', 'location': 'Jennifershire'}]","['Sound Designer', 'Screenwriter', 'Driver', 'Assistant Camera', 'Colorist', 'Editor', 'Music Supervisor']","['Celebrity Guest', 'Magician']",Needs Review
36,Film,Self-enabling asynchronous methodology,"Growth matter note happy effort bill off. Direction meeting analysis television. Animal hair turn condition whether.
Sort research pretty different eat trouble floor.",2023-06-28,2023-11-09,Lead hard factor six science drug happy will young simply run national somebody character usually agency must player really act friend serve heavy scene film day.,2.4357413314401555,"[{'dateType': 'Audition Dates', 'dateRange': ['2023-08-13', '2023-08-21']}, {'dateType': 'Audition Dates', 'dateRange': ['2023-09-17', '2023-09-21']}, {'dateType': 'Shooting Dates', 'dateRange': ['2023-10-01', '2023-10-02']}]","[{'locationType': 'Shooting Location', 'location': 'East Jenniferland'}]","['Boom Operator', 'Special Effects Supervisor', 'Costume Assistant', 'Second Assistant Director', 'Dialogue Editor', 'Driver']","['Voiceover Artist', 'Theater Actor', 'Photo Double', 'Precision Driver', 'Circus Performer']",Approved
37,TV,Balanced discrete model,"Learn security oil measure PM hour. Nothing itself who door end fire song red. Fish evening avoid dark sister once.
Clearly letter image movie. Later leg system bed space.",2024-06-22,2024-11-13,Behind big soldier building article sit develop cup hundred rather visit base only true avoid young cup position.,12.156353524016268,"[{'dateType': 'Audition Dates', 'dateRange': ['2024-07-17', '2024-07-26']}]","[{'locationType': 'Rehearsal Location', 'location': 'Port Mariamouth'}, {'locationType': 'Shooting Location', 'location': 'North Sheriton'}]","['Key Grip', 'Sound Editor', 'Costume Designer']","['Narrator', 'Special Skills Performer', 'Stand-up Comedian', 'Musician', 'Teen Actor']",Needs Review
